"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ATG14","Q6ZNE5","","autophagy related 14(ATG14)","Homo sapiens"
"ATG9A","Q7Z3C6","","autophagy related 9A(ATG9A)","Homo sapiens"
"ATL1","Q8WXF7","","atlastin GTPase 1(ATL1)","Homo sapiens"
"ATM","Q13315","","ATM serine/threonine kinase(ATM)","Homo sapiens"
"ATP10D","Q9P241","","ATPase phospholipid transporting 10D (putative)(ATP10D)","Homo sapiens"
"ATP11B","Q9Y2G3","","ATPase phospholipid transporting 11B (putative)(ATP11B)","Homo sapiens"
"ATP13A2","Q9NQ11","","ATPase cation transporting 13A2(ATP13A2)","Homo sapiens"
"ATP13A3","Q9H7F0","","ATPase 13A3(ATP13A3)","Homo sapiens"
"ATP13A4","Q4VNC1","","ATPase 13A4(ATP13A4)","Homo sapiens"
"ATP1A1","P05023","","ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)","Homo sapiens"
"ATP1A3","P13637","","ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)","Homo sapiens"
"ATP1B1","P05026","","ATPase Na+/K+ transporting subunit beta 1(ATP1B1)","Homo sapiens"
"ATP2A1","O14983","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1)","Homo sapiens"
"ATP2B1","P20020","","ATPase plasma membrane Ca2+ transporting 1(ATP2B1)","Homo sapiens"
"ATP2B4","P23634","","ATPase plasma membrane Ca2+ transporting 4(ATP2B4)","Homo sapiens"
"ATP2C1","P98194","","ATPase secretory pathway Ca2+ transporting 1(ATP2C1)","Homo sapiens"
"ATP2C2","O75185","","ATPase secretory pathway Ca2+ transporting 2(ATP2C2)","Homo sapiens"
"ATP5PF","P18859","","ATP synthase peripheral stalk subunit F6(ATP5PF)","Homo sapiens"
"ATP6V0A4","Q9HBG4","","ATPase H+ transporting V0 subunit a4(ATP6V0A4)","Homo sapiens"
"ATP6V1C1","P21283","","ATPase H+ transporting V1 subunit C1(ATP6V1C1)","Homo sapiens"
"ATP6V1E1","P36543","","ATPase H+ transporting V1 subunit E1(ATP6V1E1)","Homo sapiens"
"ATP6V1E2","Q96A05","","ATPase H+ transporting V1 subunit E2(ATP6V1E2)","Homo sapiens"
"ATP6V1H","Q9UI12","","ATPase H+ transporting V1 subunit H(ATP6V1H)","Homo sapiens"
"ATP7B","P35670","","ATPase copper transporting beta(ATP7B)","Homo sapiens"
"ATP8B1","O43520","","ATPase phospholipid transporting 8B1(ATP8B1)","Homo sapiens"
"ATP9B","O43861","","ATPase phospholipid transporting 9B (putative)(ATP9B)","Homo sapiens"
"AUH","Q13825","","AU RNA binding methylglutaconyl-CoA hydratase(AUH)","Homo sapiens"
"AUP1","Q9Y679","","AUP1 lipid droplet regulating VLDL assembly factor(AUP1)","Homo sapiens"
"AVPI1","Q5T686","","arginine vasopressin induced 1(AVPI1)","Homo sapiens"
"AZI2","Q9H6S1","","5-azacytidine induced 2(AZI2)","Homo sapiens"
"B2M","P61769","","beta-2-microglobulin(B2M)","Homo sapiens"
"B3GALT5","Q9Y2C3","","beta-1,3-galactosyltransferase 5(B3GALT5)","Homo sapiens"
"B3GAT3","O94766","","beta-1,3-glucuronyltransferase 3(B3GAT3)","Homo sapiens"
"B3GNT3","Q9Y2A9","","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3(B3GNT3)","Homo sapiens"
"B4GALT1","P15291","","beta-1,4-galactosyltransferase 1(B4GALT1)","Homo sapiens"
"B4GALT3","O60512","","beta-1,4-galactosyltransferase 3(B4GALT3)","Homo sapiens"
"B4GALT7","Q9UBV7","","beta-1,4-galactosyltransferase 7(B4GALT7)","Homo sapiens"
"BABAM2","Q9NXR7","","BRISC and BRCA1 A complex member 2(BABAM2)","Homo sapiens"
"BAD","Q92934","","BCL2 associated agonist of cell death(BAD)","Homo sapiens"
"BAG1","Q99933","","BAG cochaperone 1(BAG1)","Homo sapiens"
"BAG4","O95429","","BAG cochaperone 4(BAG4)","Homo sapiens"
"BARGIN","Q6ZT62","","Bargin(BARGIN)","Homo sapiens"
"BASP1","P80723","","brain abundant membrane attached signal protein 1(BASP1)","Homo sapiens"
"BATF3","Q9NR55","","basic leucine zipper ATF-like transcription factor 3(BATF3)","Homo sapiens"
"BAX","Q07812","","BCL2 associated X, apoptosis regulator(BAX)","Homo sapiens"
"BBS5","Q8N3I7","","Bardet-Biedl syndrome 5(BBS5)","Homo sapiens"
"BCAM","P50895","","basal cell adhesion molecule (Lutheran blood group)(BCAM)","Homo sapiens"
"BCAS1","O75363","","brain enriched myelin associated protein 1(BCAS1)","Homo sapiens"
"BCAT2","O15382","","branched chain amino acid transaminase 2(BCAT2)","Homo sapiens"
"BCKDHA","P12694","","branched chain keto acid dehydrogenase E1 subunit alpha(BCKDHA)","Homo sapiens"
"BCL2L13","Q9BXK5","","BCL2 like 13(BCL2L13)","Homo sapiens"
"BCL9","O00512","","BCL9 transcription coactivator(BCL9)","Homo sapiens"
"BDH1","Q02338","","3-hydroxybutyrate dehydrogenase 1(BDH1)","Homo sapiens"
"BDH2","Q9BUT1","","3-hydroxybutyrate dehydrogenase 2(BDH2)","Homo sapiens"
"BEND3","Q5T5X7","","BEN domain containing 3(BEND3)","Homo sapiens"
"BET1","O15155","","Bet1 golgi vesicular membrane trafficking protein(BET1)","Homo sapiens"
"BET1L","Q9NYM9","","Bet1 golgi vesicular membrane trafficking protein like(BET1L)","Homo sapiens"
"BGN","P21810","","biglycan(BGN)","Homo sapiens"
"BHLHE40","O14503","","basic helix-loop-helix family member e40(BHLHE40)","Homo sapiens"
"BHLHE41","Q9C0J9","","basic helix-loop-helix family member e41(BHLHE41)","Homo sapiens"
"BIN3","Q9NQY0","","bridging integrator 3(BIN3)","Homo sapiens"
"BIRC2","Q13490","","baculoviral IAP repeat containing 2(BIRC2)","Homo sapiens"
"BLOC1S3","Q6QNY0","","biogenesis of lysosomal organelles complex 1 subunit 3(BLOC1S3)","Homo sapiens"
"BLTP1","Q2LD37","","bridge-like lipid transfer protein family member 1(BLTP1)","Homo sapiens"
"BLZF1","Q9H2G9","","basic leucine zipper nuclear factor 1(BLZF1)","Homo sapiens"
"BMP1","P13497","","bone morphogenetic protein 1(BMP1)","Homo sapiens"
"BMPR1A","P36894","","bone morphogenetic protein receptor type 1A(BMPR1A)","Homo sapiens"
"BMPR1B","O00238","","bone morphogenetic protein receptor type 1B(BMPR1B)","Homo sapiens"
"BNC1","Q01954","","basonuclin zinc finger protein 1(BNC1)","Homo sapiens"
"BNC2","Q6ZN30","","basonuclin zinc finger protein 2(BNC2)","Homo sapiens"
