"","Jurkat","KMBC2","MCF7","231"
"O15020;Q01082",-2.82,-2.82,0.253,-0.916
"O15021",0.0884,-2.87,-0.145,-0.35
"O15027",-1.32,-1.74,-0.599,-1.69
"O15031",0.0884,-2.12,0.631,-3.16
"O15037",-3.02,-2.73,-2.28,-3.3
"O15040",-0.415,-3.72,-1.49,-2.87
"O15042",-1.31,-0.569,0.44,-0.361
"O15047",-2.39,-2.79,-1.52,-3.45
"O15049",0.0884,-0.643,-0.937,-0.35
"O15050",0.0884,-0.643,-0.145,-1.37
"O15054",-0.922,-2.35,-1.11,-1.59
"O15060",-0.645,-1.49,-0.954,-1.23
"O15062",0.0884,-5,-2.24,-4.96
"O15063",0.0884,-0.643,-0.145,-0.959
"O15066",-1.47,-5.07,-0.358,-4.17
"O15067",-3.24,-5.35,-2.26,-3.21
"O15068",0.0884,-0.643,-0.145,-0.35
"O15075",1.79,-0.643,-0.723,-0.35
"O15078",-8.5,-6,-5.81,-7.78
"O15084",-0.769,-0.643,0.731,-0.428
"O15085",0.0884,-2.39,-1.37,0.6
"O15091",-0.216,-1.66,-0.656,-0.35
"O15111",-4.65,-4.05,-2.4,-3.93
"O15117",-5.2,-0.643,-1.33,-0.35
"O15118",0.0884,-2.68,1.08,-1.37
"O15119",0.0884,-6.25,-2.42,-0.35
"O15120",0.0884,-0.643,-0.145,-0.35
"O15121",0.0884,-0.643,-1.36,-1.23
"O15126",0.0884,-1.44,-1.19,-0.35
"O15127",-1.92,-2.81,0.451,-1.71
"O15143",-2.78,-2.18,-0.854,-1.82
"O15144",-2.31,-1.75,-0.561,-1.28
"O15145",-2.24,-2.29,-0.54,-1.39
"O15155",-1.62,-0.643,-1.22,-1.21
"O15156",0.0884,-0.643,-2.19,-1.25
"O15160",-2.07,-1.25,-0.588,-2.73
"O15162",0.0884,-2.54,-0.0556,-2.24
"O15164",-6.33,-6.8,-4.39,-7.2
"O15169",-2.51,-0.643,-2.33,-0.35
"O15173",-1.04,-2.21,1.4,-1.17
"O15182",-7.13,-5.85,-1.91,-1.12
"O15194",0.0884,-0.643,-0.145,-0.35
"O15195",0.0884,-1.62,-0.145,-0.35
"O15211",0.0884,-1.81,-0.145,-0.708
"O15212",-3.99,-4.03,-1.09,-3
"O15213",-1.75,-2.1,-1.17,-1.1
"O15226",-1.94,-2.23,-0.629,-1.09
"O15228",-1.96,-3.51,0.869,-3.01
"O15229",0.0884,-0.643,-0.145,-0.35
"O15230",0.0884,-3.48,-2.86,-5.2
"O15231",-0.848,-1.66,-0.0486,-1.74
"O15234",-3.06,-0.00819,-1.05,-0.35
"O15235",0.0884,-2.13,-0.145,-1.73
"O15240",0.0884,-0.643,-6.12,-0.35
"O15254",0.0884,-1.09,-0.775,-2.43
